,詞頻
糙米加藜麥飯,1
生鮭魚,1
進口西梅乾,1
沙拉材料看自己喜好,1
好市多美國紐約客牛排(半塊量,1
憶霖8佳醬黑胡椒醬,1
柚子泥,1
越南米紙（直徑25公分）,1
大辣椒切絲,1
食材︰胡蘿蔔,1
食材︰玉米筍,1
蕪菁,1
海帶芽(乾),1
薑 片,1
米 酒,1
黑橄欖片,1
酸   豆,1
香菜莖碎、紅辣椒碎、黑胡椒粉,1
梅肉,1
馬鈴薯(小型，進口白皮馬鈴薯),1
豬里肌肉/豬排肉,1
食材︰青椒,1
去皮雞胸肉醃製一晚優格醬,1
完整大白菜葉,1
舞茸,1
黑胡椒或蒜泥1粒,1
食材︰黃秋葵,1
香芹（乾）,1
西式高湯,1
鹽/雞粉,1
大燕麥片（厚）,1
好市多希臘優格,1
(佐料)小黃瓜片,1
(佐料)鮪魚罐頭,1
(佐料)玉米粒,1
(佐料)黑胡椒粒,1
(佐料)乾燥巴西里,1
(佐料)沙拉醬,1
冰的蛋白,1
笎荽子,1
紅酒醋或烏醋,1
新鮮越南米粉/潮州粿條,1
豬腿肉（薄片）,1
香油（麻油）,1
黑胡椒粉、烹大師,1
(佐料)鮮蝦,1
冰的蛋黃,1
豆蔻粉,1
竹筍（水煮）,1
剩菜,1
(調味料)日式胡麻醬,1
青葡萄乾,1
凝固酸奶,1
鱈魚子,1
義大利香料芝士麵包棒,1
羊肉（油脂少）,1
原味豆奶優格、番茄醬適量,1
大漢傳統板豆腐,1
紅秋葵,1
高湯塊,1
蛇瓜〈小黃瓜〉,1
壽司海苔 (包材可視個人喜好變化),1
涼麵蘸醬,1
鹽 麴(或鹽代替),1
食材︰大蒜,1
豬腿肉(薄片),1
黑蒟蒻片,1
冰山捲心,1
食材︰紫高麗菜,1
食材︰高麗菜,1
食材︰高麗菜芯,1
食材︰滷豆乾,1
食材︰核桃,1
沙拉醬汁︰糖,1
麵包8片,1
baking powder,1
沙拉醬汁︰麻油,1
義式馬札瑞拉起司（水牛起司,1
全紅蕃茄,1
無糖蘋果醬 (可省略),1
(調味)橄欖油,1
鮮奶沙拉醬,1
有機葡萄乾〈材料可視季節及需求選配〉,1
myprotein 摩卡蛋白粉,1
baking soda,1
食材︰西洋芹,1
黑醋或白醋,1
花生醬(可省略),1
蒜泥可免,1
肉桂粉(可省略),1
南瓜(如喜歡南瓜份量可以增加),1
海菜,1
白蒟蒻片,1
紅蘿蔔(中),1
酪梨〈小〉或〈大〉半個,1
蘋果〈中〉,1
巴參心,1
葵花苗、紫蘇葉、苜蓿芽,1
原味豆奶優格,1
(調味)陳年葡萄醋,1
節瓜片,1
鳳梨切丁,1
花生糖,1
狄戎芥末,1
一瓣大蒜,1
切細的蝦夷蔥,1
新鮮現磨黑胡椒,1
削皮芋頭塊,1
新鮮芝麻粉,1
好市多蝦仁,1
6.麵包(或吐司),1
沙拉堡,1
漢堡皮,1
桃子,1
Tumeric,1
caeyne pepper,1
燕麥片(rolled oat),1
酸奶油SourCream,1
無糖蘋果醬,1
(調味)黑胡椒,1
調味料︰辣椒醬,1
炒白芝麻,1
食材︰水蓮菜,1
食材︰美白菇,1
調味料︰豆腐乳,1
調味料︰芝麻醬,1
調味料︰蜂蜜,1
黃藜麥,1
5.洋蔥,1
1.馬鈴薯,1
2.美乃滋,1
豆漿or水,1
3.冷凍蔬菜,1
4.雞蛋,1
植物性蛋白粉巧克力口味,1
巧克力高蛋白粉（裹外衣）,1
祥記茶籽油,1
紫洋蔥 ,1
日本油揚（切段）,1
七彩胡椒（黑胡椒）,1
枸杞/紅棗/葡萄乾(切碎),1
玉米筍切段,1
番茄切塊,1
小黃瓜滾刀切塊,1
地瓜切塊蒸熟,1
廣達香義式油醋醬,1
黑胡椒末,1
食材︰衝菜,1
豬絞肉（瘦肉較多）,1
木瓜果醬,1
食材︰雞里肌,1
蓮花焦糖脆餅,1
鈕扣乾香菇,1
無刺鮭魚塊,1
和風芥末醬,1
白酒（米酒）,1
土司（法國麵包）,1
綠豆寬粉,1
椰子油（橄欖油亦可）,1
果汁,1
鹽巴/黑胡椒粉,1
簡易免揉麵團,1
黑木耳菇菇醬(青檸酸辣),1
沙拉綜合生菜,1
天然風味料理素-紫薯甜菜甘味,1
奶水,1
蘿蔓生菜葉,1
藍黴乳酪,1
藍黴乳酪醬,1
越南春卷米紙,1
烏斯特黑醋(可用A1牛排醬取代),1
香蕉片,1
醬汁︰；麻油,1
核桃/堅果/巧克力(切碎),1
赤砂糖/黑糖,1
美奶滋跟黑胡椒,1
米諾蘭冷藏沙拉醬,1
草莓、蘋果、奇異果,1
韭黃（切段）,1
葡萄乾、杏仁角、巧克力球,1
香菇或鴻喜菇,1
紅蘿蔔,1
鹽跟糖,1
椰菜（切絲）,1
紅豆,1
檸檬口味養生茶湯,1
乳酪絲（看個人）,1
冰洋蔥,1
冬菇片,1
a. 馬鈴薯 (蒸熟壓成泥),1
原味乳酪,1
雲林西螺紫色高麗菜,1
醬汁︰糖(可免),1
濃甜葡萄醋,1
洋菇(大),1
原味玉米片,1
馬自拉起司條，切厚片,1
醬油、米酒、糖、鹽、柴魚片,1
全麥麵粉/全粒粉,1
番茄，切厚片,1
鹽與黑胡椒粉,1
雲林西螺美生菜,1
高麗菜、毛豆、金針菇,1
大燕麥片/即溶麥片,1
帕米香起司屑,1
豬梅花/豬里肌,1
頂好雞里肌,1
帶子,1
調味料:味霖,1
水煮蛋(切片),1
細洋蔥,1
橄欖油、意式黑醋,1
"麵粉,麵包粉",1
蔬菜雞湯,1
日式地雞醬油風味湯底,1
"鹽,米酒,胡椒粉",1
蘇打粉(baking soda),1
水約,1
甜筍,1
巴賽米克醋或紅酒醋,1
雞骨架,1
比菲多,1
莫札瑞拉乳酪球(小),1
法式鮮奶油,1
低鹽醬油,1
紅蘿蔔(可加可不加),1
"生菜,小黃瓜",1
切塊雞,1
雞柳一盒,1
【沙拉】,1
羅勒或巴西利,1
蘿蔓生菜,1
卷生菜,1
核桃仁,1
豆油伯頂級初榨橄欖油,1
豆油伯蘋果淳,1
五木海鮮味拉麵,1
空罐,1
五木海鮮味拉麵調味包,1
水(煮麵用),1
苣類生菜,1
巧達煙燻起司,1
【義式沙拉醬】,1
蒜頭(小),1
香草粉（可省略）,1
紫蘇梅子,1
菊苣(萵苣),1
醬汁調配,1
生菜 紅蘿蔔,1
牛奶（刷表面用）,1
橄欖油(或其他植物油),1
熟鹹蛋,1
杏桃乾 葡萄乾 和蔓越莓乾,1
菠菜切段,1
柳丁或橘子,1
吐司(烤過),1
巴西里粉末,1
喜歡的食材配料,1
桂冠沙拉(中),1
空心粉,1
馬鈴薯(小,1
培根或火腿,1
prime牛排,1
去骨烤雞腿肉(大片),1
淬釀日式和風醬油露 _ 北海道昆布,1
片栗粉（馬鈴薯澱粉）,1
牛腱肉切丁,1
小黃瓜、紅蘿蔔,1
萵苣、小番茄,1
*調味料,1
*沙拉油,1
*醬油,1
薑、辣椒,1
蔬菜們,1
*蠔油,1
*糖,1
切胡椒牛肉,1
即食燕麥片（裝飾用）,1
冷凍薯塊,1
各式蔬菜 (今天使用白蘆筍 現採羅勒葉),1
a. 玉米粒,1
a. 起司片(切丁),1
便利商店小包腰果,1
a. 奶油(或牛奶),1
辣椒粒,1
桃屋蒜醬,1
costco大蝦仁,1
(和風醬)味霖,1
(和風醬)醬油,1
(和風醬)鹽,1
(和風醬)檸檬汁(梅子汁),1
(和風醬)蔬菜油,1
(和風醬)冷開水,1
醃製雞柳塊,1
臺東鹿嘉梅子醋-鹿嘉農莊,1
酪梨、百香果、芒果、鳳梨火龍果,1
生菜盒,1
檸檬（莎莎醬材料）,1
芝麻餐包,1
(和風醬)醃梅子,1
蒜味鹽,1
鮭魚菲力,1
羊肉塊,1
寒天條,1
蘆筍(粗),1
紅皮馬鈴薯(小顆),1
板豆腐（木棉豆腐風味更佳）,1
市售紅茶,1
蝦捲,1
任意果乾,1
•蛋汁,1
玉米粉或麵粉,1
番紅花（可省略）,1
黃檸檬（可用綠色）,1
任意堅果或果乾,1
健康蝦仁,1
黑麵包,1
辣椒 （可有可無）,1
白味增,1
可爾必思乳酸菌優酪乳,1
台東有機Q梅-醬汁,1
麵包糠,1
•蛋,1
吞拿魚,1
富發魚子醬,1
海鮮（白蝦、淡菜）加自己喜歡的,1
豬或牛攪肉,1
台東柴魚花,1
•醋,1
火腿或熱狗,1
•中筋麵粉,1
•糖,1
•泡打粉,1
•鹽,1
香螺或用煙燻鮭魚代替,1
炸雞塊,1
冷凍起酥片,1
義式麵條,1
以下為糖衣用,1
蒜 未,1
綜合果乾,1
鵝油or豬油,1
檸檬果醋,1
•砂糖,1
雞蛋水煮蛋,1
鴨蛋水煮蛋,1
蟹腿肉(可即食),1
三明治專用的方型火腿,1
•巧克力碎片（或巧克力豆）,1
冰牛奶,1
金門38度高粱酒,1
楓糖漿(蜂蜜也可),1
貴妃鮑片(可即食),1
義大利香菜(巴西里),1
石斑魚,1
綠花椰菜,1
茂谷,1
醬青,1
水蜜桃果凍,1
麻辣花生點心麵,1
樂扣樂扣樂扣圓形保鮮盒,1
憶霖清甜腰果,1
加州水蜜桃,1
原味無糖AB優酪乳,1
"鹽,黑胡椒",1
蒜頭（切丁切碎）,1
果汁機,1
圓鱈,1
炒過的松子,1
巴薩米可醋Balsamic,1
醉雞腿,1
牛蒡（切段）,1
黑芝麻粒,1
新鮮生菜 和小波菜,1
"b. 蒜頭(切末,或可省略)",1
醬油（可有可無）,1
辣椒粉（看個人）,1
a. 胡椒粉,1
b. 小蕃茄(切一半),1
b. 鹽巴,1
b. 黃砂糖,1
b. 橄欖油,1
蒜泥（可有可無）,1
"b. 百里香或奧勒岡香料 (或其它香草料,新鮮或乾燥皆可)",1
霜降豬火鍋肉片,1
歐維氏黃金比例巧克力77％cocoa,1
金桔汁,1
Curly parsley,1
義大利麵（粗細）,1
日式芥末和風醬,1
紐西蘭紅蘿蔔（切段）,1
＊蘋果(切絲或磨泥),1
＊醋,1
燕巢芭樂絲,1
巨峰葡萄,1
甜玉米粒(罐頭),1
＊＊和風沙拉醬汁,1
＊橄欖油,1
義大義香料,1
＊濃縮昆布醬油,1
燕麥片 Oats,1
＊日式黃芥末醬,1
芋頭(去皮),1
＊冷開水,1
鹽或雞粉,1
＊玫瑰岩鹽,1
＊研磨黑胡椒,1
丹麥吐司,1
糯米粉水,1
春卷皮,1
紅椒絲,1
火腿切塊,1
混合的奶酪,1
乾麵包,1
雪花牛肉,1
甜椒（黃紅）,1
杏仁 、腰果,1
巿售油醋醬,1
白蘿蔔2條,1
蓮子／薏仁,1
米香,1
小捲（或花枝）,1
鴻喜菇/雪白菇,1
越式 米紙,1
熟鮑魚,1
辣椒怕辣去籽,1
紅蘿蔔，切絲,1
巴馬乾酪,1
品御方 - 品燕盞,1
五香椒鹽粉,1
統一無糖豆漿,1
醬油，芥末,1
泡水海帶,1
柳橙丁原汁,1
綠藤生機青花椰苗，紫高麗苗,1
馬茲羅拉乳酪絲,1
美乃滋匙,1
NoFat油醋醬,1
可果美整粒蕃茄,1
紫洋蔥(切絲),1
綠捲鬚生菜(切段),1
蘿美生菜(切段),1
芙蓉豆腐附贈調味包,1
新鮮紅辣椒,1
吻仔魚乾,1
蒜味吐司,1
蔭油,1
憶霖鹹酥腰果,1
"老抽,魚露,紅糖",1
桂冠千島沙拉醬,1
蕃茄(裝飾),1
薄荷(裝飾),1
SpecialK香脆麥米片原味,1
桂冠沙拉(Light),1
去皮熟雞胸肉,1
橄欖油或沙拉油,1
冷凍千層麵（好市多）,1
美生菜葉,1
馬鈴薯切粒,1
SpecialK原味香脆麥米片,1
木瓜切粒,1
可頌麵包(Croissants),1
熟米粉,1
小白菇,1
無鹽腰果,1
黃、綠櫛瓜,1
蛋白液,1
▊調味料 ▊,1
黑胡椒，鹽，柴魚精,1
▊涼拌調味料 ▊,1
蝴蝶麵/或捲捲麵都可,1
現磨起司粉,1
迷你馬茲瑞拉起司,1
楊  桃,1
黃櫛瓜切片,1
【義大利麵醬】橄欖油,1
新加坡白叻沙即煮醬（全聯）,1
【義大利麵醬】紅酒醋(或烏醋),1
中大型馬鈴薯,1
火腿丁/小黃瓜片/水果乾,1
清  酒,1
去皮雞里肌,1
好市多羅勒醬,1
低糖高纖豆漿,1
噴槍,1
砂糖B,1
砂糖A,1
好市多冷凍花椰菜,1
海苔芝麻,1
柴魚醬汁（桂冠芙蓉豆腐裡面附的）,1
去皮燜熟雞胸肉,1
奧莉岡,1
feta起司,1
桂冠沙拉light,1
旗魚片,1
咖哩醬,1
水管麵,1
烤土司,1
"香菜,芝麻",1
白巧克力磚,1
食材︰香菜(可省),1
海鮮紫菜湯包,1
AK安康有機腰果,1
輕食貝果 (Thin Bagel),1
蜜汁烤肉醬,1
香蕉草莓優格,1
壽司海苔皮,1
敏豆〈或綠蘆筍〉,1
低脂原味優格(約170g),1
巴參〈生菜葉〉,1
小紅西瓜,1
大甲芋頭,1
玫瑰花瓣,1
曾拌麵-海味叻沙口味米粉,1
咖啡酒或蘭姆酒,1
大豆卵磷脂,1
橄欖型餐包,1
Jalapeno,1
薄鹽培根,1
披薩乳酪絲,1
洋蔥中小型切碎,1
熟有機玉米粒,1
山藥丁,1
竹筍(熟的),1
筍丁,1
老抽（或醬油）,1
AK安康藜麥,1
罐頭鮭魚PinkSalmon,1
CLASSICO義大利麵醬,1
蛋皮絲,1
好市多羅勒青醬,1
番茄醬/芥末醬,1
[桂冠沙拉],1
藜麥糙米飯（熟）,1
9吋pizza厚餅皮,1
巴薩米可酒醋,1
橄欖油ExtraVirgin,1
蒸好的綠竹筍,1
調味料︰大蒜,1
食材︰海苔肉鬆,1
黑木耳QQ圓(抹茶口味),1
小火腿,1
special K,1
食材︰蘆筍,1
調味料︰九層塔,1
食材︰牛番茄,1
AK安康排毒酵精,1
調味料︰鹹蛋,1
黑胡椒碎／意大利雜香草乾,1
調味料︰青蔥,1
調味料︰黑胡椒,1
檸檬或萊姆汁,1
全麥皮,1
地瓜（全家）,1
馬茲摩拉乳酪絲（全聯）,1
汆燙過醜豆株,1
蔥、薑、淡色醬油、米酒,1
印花模,1
腰果沙拉醬,1
如說明,1
苜素芽,1
Classico 番茄羅勒口味,1
地瓜(或馬鈴薯),1
大沙蝦,1
汁料,1
羅蔓心,1
市售千島醬,1
柴魚酥,1
喜愛的水果,1
小番茄or紅甜椒,1
日式和風干貝醬油,1
食材︰雞蛋,1
食材︰洋菜,1
調味料︰麻油,1
調味料︰黑醋,1
海鹽、檸檬汁,1
松葉蟹棒肉,1
雞丁,1
台東洛神花,1
【調味料】胡椒粉,1
開背草蝦仁,1
柴魚片1包,1
熟鹹鴨蛋,1
大櫛瓜，縱切成約兩根手指粗細的長條,1
乾燥百里香(或任何香草),1
台酒花雕雞,1
芹菜及蔥花,1
蕃茄口味沙拉,1
水煮鮪魚瀝乾水分,1
水煮蛋丁,1
紅椒丁,1
黃椒丁,1
黑胡椒粒、海鹽,1
蔓樾莓,1
歡喜蛋,1
百事福美玉白汁,1
元荽,1
無印咖哩-奶油雞肉,1
永佳上品無毒蝦仁,1
綜合鮮果（西瓜、芒果、柳橙、火龍果、奇異果、哈密瓜、   鳳梨...）,1
涼筍,1
彩虹扇貝,1
越式米紙,1
九層塔葉子,1
生菜片,1
櫻桃蘿蔔(或紅蘿蔔),1
花生麵筋,1
土雞里肌肉,1
美生菜洗淨擦乾水分,1
蝦仁(小隻),1
巧克力酥片,1
檸檬擠汁(or 檸檬汁),1
糖及香菜,1
迷你番茄,1
【醃雞肉料】水,1
巴西里 (or 香菜末),1
2L大干貝,1
水果(新鮮無花果或酪梨),1
奧利塔橄欖油,1
墨西哥捲餅皮,1
天日海鹽,1
清水(粉水),1
番薯粉(粉水),1
馬偕研發咖哩牛肉包,1
橄欖油(醃料),1
可口可樂,1
Myprotein 花生粉醬,1
溫體雞胸肉(熟重),1
可可粉、抹茶粉、芝麻粉…,1
【醃雞肉料】料酒,1
新鮮鳳梨(1/4薄片),1
烘烤過的核果類,1
【醃雞肉料】太白粉,1
小番切,1
【醃雞肉料】醬油,1
泰式酸辣沾醬,1
波菜千層麵（金品）,1
水煮白腰豆,1
豆苗菜,1
純芝麻醬,1
鹽及黑胡椒粉,1
橄欖油(氣炸前拌勻使用),1
【醃雞肉料】辣豆瓣醬,1
飛利浦健康氣炸鍋,1
extra virgin olive oil,1
Basi,1
mozzarella cheese,1
筆尖義大利麵,1
"九層塔,薄荷葉",1
DOP頂級初榨橄油,1
綠葉生菜,1
芝士粉,1
"艾曼塔起司(Emmental) , 或硬式馬自拉(Mozzarella)",1
蔓越莓乾裝飾,1
雞蛋(也可以只有蛋黃),1
嫩雞丁,1
蘿蔓生菜丁,1
可樂果,1
調味料︰鮪魚罐頭,1
調味料︰鹽&白胡椒,1
梅花肉片(或雞胸肉),1
紫色洋蔥(或紫色高麗菜),1
市售豆漿,1
冷凍蝦仁（好市多）,1
鴨兒芹(或小黃瓜),1
去核紅棗,1
鳳梨梅,1
茯苓粉/ 黑糖,1
澄粉,1
老梅膏,1
蕃茄醋,1
干貝(3人份),1
新鮮西式香草,1
味增糖漬黃瓜,1
鮪魚罐頭瀝乾水份,1
馬鈴薯去皮切丁,1
紅蘿蔔去皮切碎,1
小黃瓜切小丁,1
鹽&黑胡椒,1
海帶芽/海藻,1
桂格美味大燕麥片(水果優格),1
新加坡東炎醬,1
葵果特級甜辣醬,1
悶熟雞胸肉,1
鴨鹹蛋,1
好市多原味貝果,1
調味料(選配)︰蜂蜜,1
黑胡椒、紅椒粉,1
調味料(選配)︰醋,1
蒟蒻春雨,1
無糖原味優酪乳,1
調味料(必選)︰油,1
鹽巴、胡椒、橄欖油,1
胡椒枌,1
蕃薯粉,1
白/紫洋蔥,1
紅/黃彩椒,1
磨成泥的馬鈴薯,1
調味料(必選)︰哇沙米,1
調味料(必選)︰醬油,1
葡萄乾與枸杞,1
香  菜,1
乾白木耳,1
寬  粉,1
好市多雞胸香料,1
好市多紐約客牛排,1
中卷（透抽）,1
洋  蔥,1
芹  菜,1
洋蔥小顆的,1
香菜莖末,1
沙拉蔬菜,1
(沙拉醬)紅酒醋,1
番茄罐頭,1
(沙拉醬)特級初榨橄欖油,1
(沙拉醬)草莓醬,1
泰國紅辣椒,1
原蔗黑砂糖,1
韓國泡菜（全聯新來源泡菜）,1
蘿美心生菜,1
市售和風油醋醬,1
大花枝,1
食材︰棗子,1
食材︰西生菜,1
食材︰蔓越莓乾,1
食材︰苦瓜,1
食材︰新鮮鳳梨,1
天然低脂酸奶,1
生抽醬油,1
美奶滋(或千島醬),1
香米,1
鮮蝦-留尾去頭去殼去腸泥,1
(凍)椰奶,1
(凍)鮮奶,1
(凍)吉利丁片,1
低脂人造奶油,1
原味,1
原味堅果醬,1
小黃瓜半,1
紅辣椒切片,1
食材︰檸檬汁,1
芥茉,1
洗淨的小白菜,1
炒熟白芝麻,1
日清鬆餅粉,1
剁碎辣椒,1
低鹽高湯,1
磨碎生薑,1
優格醃漬去皮雞胸肉,1
現成竹筍湯,1
杏仁條,1
綠豆粉絲,1
蜜汁核桃,1
嫩薑-洗淨切細絲,1
鳳梨-去梗切片,1
綜合沙拉-有什麼就放什麼,1
"美生菜,苜蓿芽,紅椒,花椰菜",1
韓國海苔碎片,1
水牛奶酪球,1
鹽、味霖、烏醋,1
鮮羅勒葉,1
義式黑醋,1
黑胡椒研磨粒,1
"蘋果,芭樂,小黃瓜,藍莓,鳳梨",1
川燙蘆筍,1
"葡萄乾,腰果,",1
綠藤生機蘿蔔嬰，紫高麗,1
Special K原味香脆麥米片,1
酪梨小的,1
special K 麥米片,1
麵包(乳酪捲或其它),1
紫蘇梅木須肉,1
金品南瓜抓餅,1
食材︰芹菜,1
食材︰泰國芭樂,1
浸泡醬汁︰小辣椒,1
浸泡醬汁︰蜂蜜,1
浸泡醬汁︰冰水,1
西葫蘆,1
浸泡醬汁︰檸檬,1
食材︰白柚(或葡萄柚),1
無毒大蝦,1
小湯圓,1
中等蕃茄,1
進口有機砂糖,1
大燕麥,1
100%奧莉塔特級橄欖油,1
溪底遙百香果醋,1
天然海鹽,1
全家地瓜,1
食材︰火腿,1
乾藍莓,1
蔔萄,1
食材︰剝皮辣椒,1
"紫高麗菜,玉米筍,苜蓿芽",1
"豆苗,鳳梨,蘋果",1
美國羅美心（半份）,1
"小黃瓜,紅蘿蔔",1
蔔萄乾,1
蔬菜（個人喜好）,1
蒜味小黃瓜,1
柳澄,1
超市蝦仁(小盒裝),1
醃漬鮪魚,1
鮭魚片（大約105g）,1
鮮百里香,1
香草芝士棒,1
食材︰ 番茄,1
藜麥糙米炊飯,1
百里香橄欖油,1
馬自瑞拉起司 Mazurella cheese,1
食材︰辣椒(可省),1
食材︰愛文芒果,1
沙拉醬汁︰檸檬,1
沙拉醬汁︰ 蜂蜜,1
小蘋果一顆,1
彩色雞蛋,1
海鹽玫瑰鹽,1
嫩豆腐(盒裝),1
小黃瓜，切絲,1
萵苣(生菜),1
雞 蛋,1
食材︰蓮霧,1
青花魚,1
食材︰黃&綠奇異果,1
潤餅皮,1
帕馬火腿,1
煎焙胡麻醬,1
煮好的綠咖哩醬,1
白醋或1/4檸檬,1
沙拉醬汁︰優格,1
沙拉醬汁︰檸檬汁,1
食材︰葡萄,1
食材︰芒果,1
食材︰核桃(堅果),1
沙拉醬汁 ︰優格,1
食材︰豌豆苗,1
沙拉醬汁 ︰檸檬汁,1
日式昆布醬油,1
寒天,1
食材︰文旦肉,1
食材︰玉米粒,1
食材︰青蘋果,1
美乃滋台,1
半紅尖椒,1
磨牙餅,1
新鮮Mozzarella起司(水牛起司),1
桂枝,1
松子或杏仁片,1
櫻桃乾,1
帶骨羊小排,1
紅肉西瓜,1
白肉火龍果,1
美西生菜,1
紐約客牛排切塊,1
煮好放涼的義大利麵捲捲麵,1
黑、白胡椒,1
土雞腿,1
義大利甜醋balsamicvinegar,1
切碎核果,1
香菜/九層塔,1
瑪斯卡彭乳酪,1
法式第戎芥末醬,1
天然酵母種,1
鮪魚罐頭 (油漬),1
青苦瓜(白苦瓜也可),1
(醃料)蔥,1
巴西利葉與嫩莖,1
檸檬的汁液與檸檬皮綠色部份,1
皮塔餅（好市多）,1
腰內肉,1
鹽與橄欖油,1
紅火焰生菜,1
傳統板豆腐（大漢）,1
鮫皮魚皮,1
桂冠沙拉light 100g,1
小鮮蝦,1
紅/黃甜椒,1
熱水（100度C）,1
薄荷末,1
話梅,1
自製土司,1
蘋果片切丁,1
(麵糊)蛋,1
(醬汁)果糖,1
(麵糊)鹽,1
(醃料)鹽,1
(醃料)白醋,1
(麵糊)麵粉,1
(醃料)味霖,1
(醃料)蒜頭,1
羅勒青醬（好市多）,1
(麵糊),1
好市多皮塔餅,1
新鮮蒜片,1
(醃料)香菜,1
好市多冷藏青醬,1
洋蔥（紫色）,1
堅果或穀片,1
水主鮪魚,1
無鹽奶油(隔水融化),1
壽司海苔片,1
新北市綠竹筍,1
小鳳梨,1
梅子葡萄乾,1
紫高麗菜芽,1
紫妹,1
荷葉餅皮或全麥麵皮,1
杏仁沙拉醬,1
鹽與黑胡椒粒,1
"紅蘿蔔,小黃瓜",1
碎香蒜花生,1
雪白菇、鴻喜菇、杏鮑菇,1
Classico義大利麵醬香濃白醬,1
燕餃（桂冠）,1
柳  橙,1
香樁青醬,1
中華有機豆腐,1
鹽或油醋,1
煎培根的油,1
青芒果蘸醬,1
雞蛋(白煮蛋),1
熟竹筍,1
綜合堅果(松子、核桃、黑白芝麻),1
藍黴乳酪blue cheese,1
鹽 (燙蝦用),1
初榨橄欖油EVOO,1
冷凍蝦仁,1
有機馬鈴薯(去皮約150克),1
蜂蜜(或糖漿),1
檸檬汁(或醋),1
jalapeno 醃辣椒 (切碎),1
有機紅甜椒粉(也可以不用),1
乾番茄(切碎),1
好市多冷凍蝦,1
(醬汁)檸檬汁,1
1:新鮮生玉米粒,1
Niji's Diet日機纖果奶昔【野莓皇后】,1
雞腿肉/雞胸肉(去皮去骨切丁),1
紅蔥頭(切碎),1
甜馬沙拉酒 sweet marsala wine,1
鉛筆義大利麵,1
總統牌起司片,1
好事多冷凍蝦仁,1
印尼醬油,1
山葵和風沙拉醬,1
香菜粉,1
9:檸檬,1
家福蝴蝶麵,1
8:美生菜,1
紅辣椒粒,1
蛋蕉,1
豬腱肉,1
芋頭泥,1
小餅乾,1
馬鈴薯(約拳頭大小),1
日式白醬沙拉,1
醃製里肌肉,1
美羅心,1
薑、鹽,1
韓國泡菜,1
西洋香料,1
安佳較低脂起司片,1
林鳳營鮮乳,1
桂冠莎拉,1
燙熟三色豆,1
土魠魚,1
Special K原味米麥片,1
咖哩,1
市售蜜柑口味果凍,1
奇異果片,1
薑末(or薑泥),1
(醬汁)胡麻醬,1
3:去皮雞腿肉,1
5:香菜,1
生菜(兩色),1
日式殺沙拉醬,1
萊姆/青檸檬汁,1
全聯麥香胚芽厚片,1
4:洋蔥,1
2:蔥末,1
去骨醃製薑黃雞,1
Myprotein抹茶鬆餅粉,1
紅龍果,1
Special K玉米脆片(原味),1
玫瑰桃,1
桂冠芙蓉豆腐內附調味包,1
劍蝦仁,1
現成小派塔,1
桂冠沙拉(light),1
薄荷葉或九層塔,1
檸檬（醃製鮭魚）,1
洋蔥末(or洋蔥泥),1
小size馬鈴薯,1
家樂氏Special K麥米片,1
家福青醬,1
蔥末（或小黃瓜絲）,1
豬里肌切薄片,1
九層塔(無梗),1
小黃瓜切細丁末,1
生番茄,1
味霖或少糖,1
7:白芝麻由,1
熟蛋白切丁,1
胡蘿蔔切細丁末，川燙瀝乾水分,1
6:醬油,1
白肉魚排,1
青椒或彩椒,1
小卷 (透抽),1
水煮蛋黃,1
福源鹹花生醬,1
大波特菇,1
巧達起司,1
迷迭香末,1
六格塔模或鋁箔塔杯,1
香草精（隨喜）,1
美國進口酪梨,1
18×25㎝紙模,1
煙熏辣椒粉,1
(A) 細砂糖,1
(A) 焙茶粉,1
(B) 焙茶粉,1
(B) 黍砂糖,1
(B) 樂甘健S（顆粒）,1
焙茶粉,1
瘦牛絞肉排,1
烤鳳梨,1
海鱸魚菲力,1
乾燥百里香,1
喜歡的香料或醬汁,1
芹菜葉(切碎),1
豬小里肌絞肉,1
南瓜(去籽),1
自製低醣茄子醬,1
香菜籽,1
百里香粉,1
櫛瓜圈,1
淡菜,1
紅咖哩,1
海鮮高湯,1
大洋蔥,1
多利魚排,1
黃芥末籽,1
烘培紙,1
南薑,1
香菜根莖,1
牛高湯,1
18×25㎝的紙模,1
(A)  蛋,1
鮮羊奶,1
擠花袋或塑膠袋,1
批薩乳酪絲,1
豬 / 牛絞肉,1
希臘乳酪,1
檸檬半顆,1
自製瑞可達起司,1
西班牙舌椒,1
榴槤,1
(A)  細砂糖,1
冷凍莓果,1
鮪魚片（約1.5cm）,1
柚子粉,1
菲達乳酪,1
新鮮蒔蘿,1
低醣美乃滋,1
超市豬肉片約12片,1
調理缽,1
食物秤,1
打蛋器,1
香草精(無可省略）,1
(B)  鮮奶油,1
(B)  細砂糖,1
(B)  樂甘健S（顆粒）,1
(B)  櫻桃白蘭地,1
覆盆子（冷凍）,1
覆盆子（冷凍／裝飾用）,1
扁魚乾,1
（嗜辣可加）花椒粉,1
（嗜辣可加）辣油,1
玉米筍小盒,1
想吃的蔬菜、蘿蔔、花椰菜等,1
蕃茄切丁,1
保羅瓶,1
芝麻豆奶,1
豆漿或鮮奶,1
栗子(蒸熟),1
桂丁土雞胸肉片,1
預拌粉 (老妹),1
馬斯卡彭起司（回溫）,1
美國酪梨,1
鮭魚輪切,1
紅甜椒/黃甜椒,1
白蘿蔔切絲,1
鵝油香蔥,1
過濾水,1
洋車前子榖粉,1
